x_bin_position,x_bin
0.5,2.706298113
1.5,6.452955723
2.5,10.01961422
3.5,2.770987034
4.5,7.322404385
5.5,5.412512302
6.5,11.93152142
7.5,16.34037018
8.5,8.099608421
9.5,20.16640663
10.5,15.83484268
11.5,21.76704407
12.5,20.75574303
13.5,24.39105225
14.5,29.71002197
15.5,34.21659088
16.5,31.46197319
17.5,37.41638947
18.5,41.77966309
19.5,41.71099091
20.5,34.55596924
21.5,52.06335068
22.5,36.72361755
23.5,34.25771332
24.5,46.56753159
25.5,43.57810211
26.5,65.57165527
27.5,58.37103653
28.5,54.33765411
29.5,74.39233398
30.5,63.12288666
31.5,61.10696411
32.5,62.2880249
33.5,64.14703369
34.5,64.11742401
35.5,59.65489578
36.5,82.506073
37.5,90.73307037
38.5,88.56906128
39.5,93.25105286
40.5,84.71523285
41.5,96.23838043
42.5,102.5103531
43.5,99.21364594
44.5,100.2133636
45.5,86.69737244
46.5,118.4539185
47.5,100.7529984
48.5,101.9330215
49.5,104.5635834
50.5,98.11192322
51.5,99.82200623
52.5,135.7214508
53.5,122.93647
54.5,116.3356705
55.5,96.69995117
56.5,111.6024933
57.5,112.263588
58.5,124.4005966
59.5,115.1721115
60.5,112.5557556
61.5,116.0805817
62.5,124.4452515
63.5,128.627243
64.5,120.0035858
65.5,133.5053101
66.5,146.7575073
67.5,131.0232849
68.5,124.3935776
69.5,133.0535431
70.5,125.8842926
71.5,138.204483
72.5,128.752594
73.5,157.4250641
74.5,135.8939209
75.5,117.5739822
76.5,143.4624786
77.5,142.1305847
78.5,138.0756683
79.5,147.0776062
80.5,143.103363
81.5,145.4566193
82.5,148.511734
83.5,160.414444
84.5,155.4030151
85.5,153.0765381
86.5,159.0099182
87.5,161.9873047
88.5,165.8128967
89.5,158.9534607
90.5,162.5101929
91.5,154.8265076
92.5,159.2338715
93.5,160.9848785
94.5,158.2781982
95.5,170.3093262
96.5,137.7122803
97.5,147.8440247
98.5,163.8888092
99.5,169.4557953
