RunID,Junge,n,mua,mus,DomainX,DomainY,DomainZ,SourceX,SourceY,SourceZ,TotalSignal,MeanBinWeight,MedianBinWeight,StdBinWeight,MinBinWeight,MaxBinWeight,PeakPosition,WeightedMeanPosition,WeightedMedianPosition,WeightedStdPosition,WeightedSkewness,WeightedKurtosis
run_v2_000001,3.4,1.1,0.001,0.01,500,30,60,1,15,50,102297.6787,204.5953575,206.3013229,94.20428239,4.938509464,381.3885498,131.5,213.5180215,196.5,118.814011,0.4590284626,2.335107083
run_v2_000002,3.4,1.1,0.001,0.01,500,30,65,1,15,50,65082.36789,130.1647358,132.2544632,53.91492126,2.92329812,217.7934723,162.5,229.9242654,216.5,119.9305797,0.3376085993,2.208475651
run_v2_000003,3.4,1.1,0.001,0.01,500,30,70,1,15,50,46010.22586,92.02045172,95.75270844,36.11310287,0.9791452289,171.5187836,193.5,242.6585699,231.5,120.2105174,0.2454857974,2.129214465
run_v2_000004,3.4,1.1,0.001,0.01,500,30,75,1,15,50,34171.32248,68.34264496,73.60510254,25.65940738,0.9717752934,122.3870392,177.5,252.9884158,245.5,120.600276,0.1548998427,2.085021959
run_v2_000005,3.4,1.1,0.001,0.01,500,30,80,1,15,50,26847.68949,53.69537899,55.50061226,20.226908,0,99.01043701,225.5,259.6658393,253.5,120.6114952,0.1096531998,2.066136568
run_v2_000006,3.4,1.1,0.001,0.01,500,30,85,1,15,50,21440.1259,42.8802518,45.11709213,16.6537521,0,76.10552979,244.5,266.6653942,262.5,119.6780097,0.05531879091,2.072331671
run_v2_000007,3.4,1.1,0.001,0.01,500,30,90,1,15,50,17837.19571,35.67439142,38.34494781,13.7675679,0,63.39519119,246.5,269.332793,266.5,120.2246773,0.02868324151,2.040043922
run_v2_000008,3.4,1.1,0.001,0.01,500,30,95,1,15,50,14891.41119,29.78282237,32.13389015,12.03410704,0,55.95585632,240.5,276.1565564,274.5,119.2540282,-0.01469433411,2.049970351
run_v2_000009,3.4,1.1,0.001,0.01,500,30,100,1,15,50,12557.90422,25.11580845,27.40955162,10.38935553,0,52.52742004,230.5,280.298575,280.5,119.2680814,-0.04832275166,2.036329773
run_v2_000010,3.4,1.1,0.0015,0.01,500,30,60,1,15,50,91941.31973,183.8826395,178.2076797,91.78084412,0.8528544903,351.969696,134.5,206.3309725,187.5,117.1340347,0.521279767,2.429358918
run_v2_000011,3.4,1.1,0.0015,0.01,500,30,65,1,15,50,58094.87541,116.1897508,117.8802147,51.32755782,0,219.4344025,132.5,222.9443467,208.5,118.8070257,0.392273925,2.267111157
run_v2_000012,3.4,1.1,0.0015,0.01,500,30,70,1,15,50,40589.7816,81.17956321,83.05118561,33.84941572,0,143.4869843,186.5,236.2794661,224.5,119.0451671,0.2951844521,2.196354548
run_v2_000013,3.4,1.1,0.0015,0.01,500,30,75,1,15,50,30417.70297,60.83540595,64.34264755,24.52295979,0,112.6088486,147.5,244.9579024,234.5,119.3192886,0.2288540628,2.126969554
run_v2_000014,3.4,1.1,0.0015,0.01,500,30,80,1,15,50,23602.85091,47.20570183,49.8158741,18.38263169,0,89.17386627,179.5,252.3792793,244.5,119.7758558,0.1638772085,2.102475131
run_v2_000015,3.4,1.1,0.0015,0.01,500,30,85,1,15,50,18849.55911,37.69911821,39.95949554,14.4401139,0,69.73356628,217.5,259.462855,253.5,120.4100507,0.1111318148,2.063472389
run_v2_000016,3.4,1.1,0.0015,0.01,500,30,90,1,15,50,15353.90376,30.70780753,32.16385269,12.30245735,0,59.08995819,223.5,263.8843727,258.5,119.3980107,0.08086589265,2.079460881
run_v2_000017,3.4,1.1,0.0015,0.01,500,30,95,1,15,50,12802.79803,25.60559606,27.09706593,10.12443665,0,46.52380753,186.5,268.8596349,266.5,120.3476835,0.0282785963,2.047574118
run_v2_000018,3.4,1.1,0.0015,0.01,500,30,100,1,15,50,10795.37029,21.59074058,22.96974754,8.512308215,0,41.49185181,209.5,272.9154306,270.5,120.8100994,0.0007911326602,2.035362872
run_v2_000019,3.4,1.1,0.002,0.01,500,30,60,1,15,50,83362.73387,166.7254677,161.2509842,89.00204484,2.904292822,322.9267883,124.5,199.4918186,180.5,115.218314,0.5752745559,2.535637053
run_v2_000020,3.4,1.1,0.002,0.01,500,30,65,1,15,50,52019.35712,104.0387142,104.276619,49.30240105,0.9177610278,188.2387848,124.5,216.1176502,199.5,117.2171779,0.4502905457,2.354226804
run_v2_000021,3.4,1.1,0.002,0.01,500,30,70,1,15,50,36160.09734,72.32019468,74.69147873,31.48984058,0,138.7029419,149.5,229.5667943,215.5,118.3673401,0.3460453746,2.232573895
run_v2_000022,3.4,1.1,0.002,0.01,500,30,75,1,15,50,26607.29336,53.21458672,54.13617706,22.20358744,0.9459699988,96.78933716,148.5,238.548166,227.5,118.7616966,0.2751730896,2.172963482
