RunID,Junge,n,mua,mus,DomainX,DomainY,DomainZ,SourceX,SourceY,SourceZ,TotalSignal,MeanBinWeight,MedianBinWeight,StdBinWeight,MinBinWeight,MaxBinWeight,PeakPosition,WeightedMeanPosition,WeightedMedianPosition,WeightedStdPosition,WeightedSkewness,WeightedKurtosis
run_000001,3.4,1.1,0.001,0.01,100,30,60,1,15,50,19524.12273,195.2412273,220.8313751,101.0141714,2.952746868,336.3579407,87.5,64.43510869,67.5,23.45152853,-0.4174353705,2.231553544
run_000002,3.4,1.1,0.001,0.01,100,30,65,1,15,50,10078.12213,100.7812213,108.4435844,57.05215039,1.929834604,188.0986023,96.5,66.01301163,69.5,23.18507849,-0.5082869792,2.391602778
run_000003,3.4,1.1,0.001,0.01,100,30,70,1,15,50,5952.573376,59.52573376,66.30567551,35.7442425,0,136.1840515,97.5,66.85324749,70.5,22.98872531,-0.5121915055,2.362141788
run_000004,3.4,1.1,0.001,0.01,100,30,75,1,15,50,3798.466094,37.98466094,38.24835777,23.82607643,0,85.64754486,95.5,67.42830474,71.5,22.55878488,-0.575949567,2.459212276
run_000005,3.4,1.1,0.001,0.01,100,30,80,1,15,50,2732.729533,27.32729533,28.41917229,17.14145446,0,61.72188568,99.5,67.08399437,70.5,22.91789977,-0.5436243227,2.425697427
run_000006,3.4,1.1,0.001,0.01,100,30,85,1,15,50,1897.148433,18.97148433,19.50593567,12.77978717,0,48.36685944,98.5,68.29224354,71.5,22.67369616,-0.6651897137,2.698709795
run_000007,3.4,1.1,0.001,0.01,100,30,90,1,15,50,1461.122911,14.61122911,13.33160973,10.20852671,0,40.36737823,92.5,68.39473416,73.5,22.75481937,-0.661611822,2.565771773
run_000008,3.4,1.1,0.001,0.01,100,30,95,1,15,50,1136.752026,11.36752026,10.18341637,7.568957166,0,33.78892517,96.5,67.53588281,72.5,23.32291272,-0.6272590973,2.532415455
run_000009,3.4,1.1,0.001,0.01,100,30,100,1,15,50,913.2789675,9.132789675,9.264455318,6.013098077,0,22.27373123,91.5,66.50785056,70.5,23.11869408,-0.5712155747,2.514057256
run_000010,3.4,1.1,0.0015,0.01,100,30,60,1,15,50,19156.9064,191.569064,216.0728607,96.34507663,0,323.2740784,78.5,63.93979113,66.5,23.6037147,-0.4108217427,2.21904606
run_000011,3.4,1.1,0.0015,0.01,100,30,65,1,15,50,9604.330657,96.04330657,104.0306129,53.73420816,1.876390338,191.8390808,96.5,65.65535573,68.5,23.18529566,-0.4806720703,2.320665302
run_000012,3.4,1.1,0.0015,0.01,100,30,70,1,15,50,5594.553284,55.94553284,55.47657394,33.23957935,1.897348285,116.1488495,94.5,66.70132609,70.5,23.14745248,-0.5378364244,2.386840973
run_000013,3.4,1.1,0.0015,0.01,100,30,75,1,15,50,3658.107492,36.58107492,35.03739166,22.78737408,0.9448149204,83.53405762,90.5,67.35091394,71.5,23.13180603,-0.6055696594,2.503211206
run_000014,3.4,1.1,0.0015,0.01,100,30,80,1,15,50,2535.274144,25.35274144,22.64610577,16.74264354,0,62.20750046,95.5,67.9391195,72.5,22.90283335,-0.6165999161,2.481696011
